1,1,2,1.753e-06
2,2,3,1.663e-06
3,3,5,1.372e-06
4,3,5,1.162e-06
5,4,7,1.272e-06
6,4,8,1.272e-06
7,5,10,1.252e-06
8,5,12,1.402e-06
9,5,10,1.353e-06
10,6,13,1.523e-06
11,6,15,2.104e-06
12,6,13,1.773e-06
13,7,17,2.003e-06
14,7,20,1.983e-06
15,7,20,2.013e-06
16,7,16,1.302e-06
17,8,20,1.242e-06
18,8,23,1.262e-06
19,8,24,1.453e-06
20,8,21,1.413e-06
21,9,25,1.072e-06
22,9,29,6.610e-07
23,9,30,6.310e-07
24,9,28,6.110e-07
25,9,21,5.510e-07
26,10,24,7.520e-07
27,10,27,6.510e-07
28,10,26,1.032e-06
29,10,24,8.310e-07
30,10,20,5.410e-07
31,11,22,5.110e-07
32,11,24,5.210e-07
33,11,22,4.800e-07
34,12,24,5.310e-07
35,12,26,5.410e-07
36,12,24,4.900e-07
37,13,26,5.510e-07
38,13,28,6.110e-07
39,13,26,5.910e-07
40,14,28,5.410e-07
41,14,30,5.610e-07
42,14,28,5.100e-07
43,15,31,5.610e-07
44,15,33,5.510e-07
45,15,31,5.210e-07
46,16,34,6.010e-07
47,16,36,6.010e-07
48,16,35,5.810e-07
49,16,32,5.710e-07
50,17,34,6.010e-07
55,19,37,1.282e-06
60,21,42,7.320e-07
65,23,48,7.110e-07
70,25,53,7.210e-07
75,26,59,8.020e-07
80,27,68,1.152e-06
85,28,73,1.352e-06
90,30,66,1.362e-06
95,32,70,1.042e-06
100,35,76,9.220e-07
110,39,87,1.633e-06
120,42,98,1.172e-06
130,44,108,1.232e-06
140,46,113,1.182e-06
150,48,115,1.302e-06
160,52,110,1.463e-06
170,57,121,1.523e-06
180,60,131,1.333e-06
190,62,146,1.423e-06
200,64,146,1.483e-06
220,70,146,2.054e-06
240,77,168,2.294e-06
260,81,171,1.743e-06
280,88,182,1.934e-06
300,96,205,2.314e-06
320,101,213,2.274e-06
340,111,235,3.988e-06
360,115,244,2.455e-06
380,120,259,2.295e-06
400,128,270,2.144e-06
420,134,291,3.216e-06
440,139,293,2.515e-06
460,147,310,2.464e-06
480,152,324,2.465e-06
500,159,332,2.605e-06
520,166,348,3.297e-06
540,171,379,3.877e-06
560,178,375,5.240e-06
580,185,398,3.727e-06
600,189,415,3.206e-06
620,195,410,3.036e-06
640,203,431,3.085e-06
660,208,440,3.266e-06
680,214,452,3.347e-06
700,222,475,3.397e-06
720,227,484,3.657e-06
740,236,506,3.636e-06
760,241,521,4.829e-06
780,244,526,3.957e-06
800,253,538,3.807e-06
