1,1,1,1.723e-06
2,2,3,1.342e-06
3,3,5,1.203e-06
4,3,5,1.142e-06
5,4,7,1.243e-06
6,4,7,1.222e-06
7,5,9,1.222e-06
8,5,9,1.272e-06
9,5,9,1.202e-06
10,6,11,1.273e-06
11,6,11,2.013e-06
12,6,11,1.644e-06
13,7,13,1.623e-06
14,7,13,1.683e-06
15,7,13,1.523e-06
16,7,13,1.563e-06
17,8,15,1.703e-06
18,8,15,1.773e-06
19,8,15,1.272e-06
20,8,15,1.392e-06
21,9,17,1.092e-06
22,9,17,6.410e-07
23,9,17,5.710e-07
24,9,17,6.210e-07
25,9,17,6.510e-07
26,10,19,6.920e-07
27,10,19,5.810e-07
28,10,19,6.010e-07
29,10,19,5.310e-07
30,11,21,5.210e-07
31,11,21,5.710e-07
32,11,21,7.310e-07
33,12,23,6.010e-07
34,12,23,6.510e-07
35,12,23,5.210e-07
36,13,25,5.310e-07
37,13,25,5.310e-07
38,13,25,5.300e-07
39,14,27,5.510e-07
40,14,27,6.410e-07
41,14,27,6.410e-07
42,15,29,6.410e-07
43,15,29,6.810e-07
44,15,29,6.620e-07
45,15,29,5.810e-07
46,16,31,5.810e-07
47,16,31,5.710e-07
48,16,31,5.710e-07
49,17,33,5.910e-07
50,17,33,6.910e-07
55,19,37,1.302e-06
60,21,41,8.310e-07
65,23,45,7.810e-07
70,24,47,7.820e-07
75,26,51,8.620e-07
80,27,53,9.410e-07
85,28,55,4.057e-06
90,28,55,1.022e-06
95,31,61,9.910e-07
100,33,65,9.920e-07
110,38,75,1.643e-06
120,40,79,1.193e-06
130,42,83,1.173e-06
140,44,87,1.262e-06
150,46,91,1.352e-06
160,51,101,1.743e-06
170,56,111,2.074e-06
180,59,117,1.593e-06
190,61,121,1.573e-06
200,63,125,1.543e-06
220,70,139,2.335e-06
240,77,153,1.843e-06
260,81,161,1.894e-06
280,88,175,2.375e-06
300,96,191,2.645e-06
320,101,201,3.126e-06
340,110,219,2.454e-06
360,115,229,2.455e-06
380,119,237,2.585e-06
400,128,255,2.595e-06
420,133,265,1.306e-05
440,139,277,9.317e-06
460,146,291,9.177e-06
480,152,303,9.377e-06
500,158,315,1.091e-05
520,166,331,1.130e-05
540,171,341,1.189e-05
560,178,355,1.198e-05
580,185,369,1.244e-05
600,189,377,1.266e-05
620,196,391,1.299e-05
640,203,405,1.341e-05
660,208,415,1.378e-05
680,214,427,1.425e-05
700,221,441,1.453e-05
720,226,451,1.484e-05
740,235,469,1.519e-05
760,240,479,1.570e-05
780,243,485,1.603e-05
800,253,505,1.653e-05
1,1,1,1.763e-06
2,2,3,1.272e-06
3,3,5,1.192e-06
4,3,5,1.193e-06
5,4,7,1.252e-06
6,4,7,1.202e-06
7,5,9,1.322e-06
8,5,9,1.252e-06
9,5,9,1.272e-06
10,6,11,1.273e-06
11,6,11,9.110e-07
12,6,11,5.310e-07
13,7,13,4.410e-07
14,7,13,4.510e-07
15,7,13,4.300e-07
16,7,13,4.610e-07
17,8,15,6.110e-07
18,8,15,9.410e-07
19,8,15,7.920e-07
20,8,15,5.410e-07
21,9,17,1.222e-06
22,9,17,8.920e-07
23,9,17,8.620e-07
24,9,17,8.410e-07
25,9,17,8.510e-07
26,10,19,8.120e-07
27,10,19,9.220e-07
28,10,19,7.920e-07
29,10,19,7.610e-07
30,11,21,9.120e-07
31,11,21,5.910e-07
32,11,21,5.820e-07
33,12,23,5.810e-07
34,12,23,5.910e-07
35,12,23,5.010e-07
36,13,25,5.210e-07
37,13,25,5.310e-07
38,13,25,5.210e-07
39,14,27,5.510e-07
40,14,27,5.410e-07
41,14,27,5.910e-07
42,15,29,5.510e-07
43,15,29,5.610e-07
44,15,29,7.210e-07
45,15,29,5.710e-07
46,16,31,7.110e-07
47,16,31,5.710e-07
48,16,31,5.710e-07
49,17,33,5.810e-07
50,17,33,6.010e-07
55,19,37,1.202e-06
60,21,41,8.020e-07
65,23,45,7.410e-07
70,24,47,6.910e-07
75,26,51,7.820e-07
80,27,53,8.320e-07
85,28,55,1.282e-06
90,28,55,1.192e-06
95,31,61,1.011e-06
100,33,65,9.920e-07
110,38,75,1.683e-06
120,40,79,1.162e-06
130,42,83,1.152e-06
140,44,87,1.182e-06
150,46,91,1.303e-06
160,51,101,1.272e-06
170,56,111,1.442e-06
180,59,117,1.443e-06
190,61,121,1.543e-06
200,63,125,1.513e-06
220,70,139,5.300e-06
240,77,153,4.518e-06
260,81,161,4.539e-06
280,88,175,4.849e-06
300,96,191,4.989e-06
320,101,201,5.310e-06
340,110,219,5.359e-06
360,115,229,5.790e-06
380,119,237,6.101e-06
400,128,255,6.271e-06
420,133,265,4.167e-06
440,139,277,3.837e-06
460,146,291,3.938e-06
480,152,303,3.156e-06
500,158,315,4.118e-06
520,166,331,4.498e-06
540,171,341,4.438e-06
560,178,355,4.478e-06
580,185,369,4.398e-06
600,189,377,3.577e-06
620,196,391,3.977e-06
640,203,405,3.616e-06
660,208,415,3.587e-06
680,214,427,3.704e-06
700,221,441,4.879e-06
720,226,451,5.581e-06
740,235,469,5.179e-06
760,240,479,5.330e-06
780,243,485,5.610e-06
800,253,505,5.720e-06
