1,1,2,1.763e-06
2,2,3,1.763e-06
3,3,5,1.763e-06
4,3,8,1.913e-06
5,4,13,2.705e-06
6,4,22,2.865e-06
7,5,36,2.635e-06
8,5,60,2.875e-06
9,5,100,3.686e-06
10,6,167,4.989e-06
11,6,279,6.212e-06
12,6,465,6.391e-06
13,7,777,9.237e-06
14,7,1297,1.789e-05
15,7,2165,2.423e-05
16,7,3614,3.989e-05
17,8,6031,6.340e-05
18,8,10065,1.052e-04
19,8,16795,1.920e-04
20,8,28024,2.910e-04
21,9,46758,4.726e-04
22,9,78011,8.464e-04
23,9,130089,1.373e-03
24,9,215655,2.177e-03
25,9,358393,3.582e-03
26,10,596510,5.715e-03
27,10,992420,9.558e-03
28,10,1652872,1.775e-02
29,10,2753320,2.667e-02
30,11,4586447,4.393e-02
31,11,7641826,7.383e-02
32,11,12732211,1.298e-01
33,12,21214744,2.045e-01
34,12,35349462,3.466e-01
35,12,58901271,5.817e-01
36,13,98146819,9.872e-01
37,13,163540982,1.589e+00
38,13,273911933,2.613e+00
39,14,457822811,3.878e+00
40,14,764273024,4.458e+00
41,14,1276316808,7.374e+00
42,15,2130938311,1.242e+01
43,15,-758939604,2.022e+01
44,15,1585172275,3.339e+01
45,15,1200412172,5.675e+01
46,16,-887287570,9.257e+01
47,16,1368693514,1.551e+02
48,16,-2034292470,2.627e+02
49,17,-1994359094,4.359e+02
50,17,239950888,6.966e+02
