1,1,2,1.944e-06
2,2,3,1.643e-06
3,3,5,1.262e-06
4,3,5,1.152e-06
5,4,7,1.283e-06
6,4,8,1.252e-06
7,5,10,1.292e-06
8,5,12,1.392e-06
9,5,10,1.333e-06
10,6,13,1.523e-06
11,6,15,2.033e-06
12,6,13,1.223e-06
13,7,17,1.343e-06
14,7,20,1.412e-06
15,7,20,1.442e-06
16,7,16,1.262e-06
17,8,20,1.352e-06
18,8,23,1.323e-06
19,8,24,1.452e-06
20,8,21,1.422e-06
21,9,25,1.112e-06
22,9,29,6.510e-07
23,9,30,6.710e-07
24,9,27,6.610e-07
25,9,20,5.510e-07
26,10,23,5.910e-07
27,10,25,6.010e-07
28,10,24,6.110e-07
29,10,21,5.310e-07
30,11,23,5.410e-07
31,11,25,5.410e-07
32,11,23,5.110e-07
33,12,25,5.710e-07
34,12,27,5.710e-07
35,12,25,5.510e-07
36,13,27,5.710e-07
37,13,29,5.710e-07
38,13,27,5.510e-07
39,14,30,5.810e-07
40,14,32,6.010e-07
41,14,30,5.910e-07
42,15,34,6.010e-07
43,15,36,6.210e-07
44,15,35,6.510e-07
45,15,31,5.710e-07
46,16,33,5.910e-07
47,16,35,5.910e-07
48,16,33,5.820e-07
49,17,35,6.010e-07
50,17,36,6.810e-07
55,19,38,7.520e-07
60,21,43,9.620e-07
65,23,50,8.120e-07
70,24,51,7.620e-07
75,26,61,9.020e-07
80,27,65,9.510e-07
85,28,68,1.062e-06
90,28,57,9.120e-07
95,31,63,9.420e-07
100,33,67,9.220e-07
110,38,79,1.463e-06
120,40,87,1.142e-06
130,42,91,1.132e-06
140,44,95,1.143e-06
150,46,96,1.222e-06
160,51,105,1.343e-06
170,56,116,1.312e-06
180,59,126,1.363e-06
190,61,141,1.573e-06
200,63,142,1.663e-06
220,70,144,2.124e-06
240,77,167,3.536e-06
260,81,171,1.521e-06
280,88,181,1.884e-06
300,96,204,2.004e-06
320,101,215,2.254e-06
340,110,237,2.244e-06
360,115,247,2.364e-06
380,119,265,2.685e-06
400,128,270,3.627e-06
420,133,287,3.427e-06
440,139,296,2.915e-06
460,146,308,2.895e-06
480,152,330,2.945e-06
500,158,334,2.996e-06
520,166,352,3.036e-06
540,171,383,3.556e-06
560,178,378,3.406e-06
580,185,401,4.999e-06
600,189,415,3.626e-06
620,196,419,3.707e-06
640,203,439,3.727e-06
660,208,444,3.797e-06
680,214,458,3.937e-06
700,221,476,4.017e-06
720,226,482,4.107e-06
740,235,504,5.310e-06
760,240,518,4.308e-06
780,243,518,4.378e-06
800,253,538,4.458e-06
