1,1,1,6.111e-06
2,2,3,3.175e-06
3,3,4,2.424e-06
4,3,4,2.294e-06
5,4,5,2.535e-06
6,4,5,2.375e-06
7,5,7,2.845e-06
8,5,7,2.474e-06
9,5,7,2.374e-06
10,6,8,2.475e-06
11,6,8,2.845e-06
12,6,8,2.134e-06
13,7,10,2.074e-06
14,7,10,2.084e-06
15,7,10,2.024e-06
16,7,10,2.034e-06
17,8,11,1.954e-06
18,8,11,2.114e-06
19,8,11,2.203e-06
20,8,11,2.004e-06
21,9,13,1.372e-06
22,9,13,9.420e-07
23,9,13,8.920e-07
24,9,13,1.213e-06
25,9,13,1.332e-06
26,10,11,1.012e-06
27,10,11,1.030e-06
28,10,11,9.820e-07
29,10,11,7.410e-07
30,11,8,8.910e-07
31,11,8,7.710e-07
32,11,8,9.820e-07
33,12,8,7.610e-07
34,12,8,7.720e-07
35,12,8,7.510e-07
36,13,8,8.110e-07
37,13,8,3.690e-07
38,13,8,8.520e-07
39,14,8,1.242e-06
40,14,8,7.620e-07
41,14,8,9.210e-07
42,15,10,8.320e-07
43,15,10,9.910e-07
44,15,10,8.120e-07
45,15,10,9.220e-07
46,16,8,6.610e-07
47,16,8,7.310e-07
48,16,8,5.610e-07
49,17,8,6.810e-07
50,17,8,5.380e-07
55,19,12,1.403e-06
60,21,7,9.520e-07
65,23,10,9.610e-07
70,24,10,8.620e-07
75,26,13,1.012e-06
80,27,15,9.920e-07
85,28,16,1.032e-06
90,28,16,1.182e-06
95,31,9,8.110e-07
100,33,9,7.810e-07
110,38,13,1.273e-06
120,40,12,1.002e-06
130,42,15,8.510e-07
140,44,16,1.052e-06
150,46,16,1.012e-06
160,51,16,1.022e-06
170,56,15,6.110e-07
180,59,13,9.010e-07
190,61,15,1.182e-06
200,63,18,7.310e-07
220,70,31,1.392e-06
240,77,19,1.192e-06
260,81,19,1.292e-06
280,88,25,1.092e-06
300,96,21,8.420e-07
320,101,20,1.273e-06
340,110,21,1.002e-06
360,115,18,9.320e-07
380,119,19,1.202e-06
400,128,34,9.820e-07
420,133,15,1.663e-06
440,139,24,1.202e-06
460,146,24,1.132e-06
480,152,17,1.172e-06
500,158,26,9.720e-07
520,166,19,1.062e-06
540,171,19,1.273e-06
560,178,30,1.292e-06
580,185,19,9.820e-07
600,189,19,1.172e-06
620,196,28,1.062e-06
640,203,17,1.042e-06
660,208,21,9.220e-07
680,214,20,1.162e-06
700,221,22,1.312e-06
720,226,20,1.172e-06
740,235,23,8.410e-07
760,240,18,9.820e-07
780,243,20,9.520e-07
800,253,26,1.022e-06
